date-dedicated,date-desire,date-order,date-removal,city,state,statue-name,statue-specifier,category,was-torn-down,geocode,Latitude,Longitude,Notes
1907,June 2020,N/A,06/10/2020,Richmond,Virginia,Statue of Jefferson Davis,Davis statue Monument Ave,removed,1,"Richmond, Virginia",37.5407246,-77.4360481,
1892,June 2020,N/A,06/16/2020,Richmond,Virginia,Howitzer Monument,Confederate monument on Virginia Commonwealth University’s Monroe Park campus ,removed,1,"Richmond, Virginia",37.5407246,-77.4360481,
1998,June 2020,06/01/2020,06/16/2020,Albuquerque,New Mexico,Statue of Juan de Oñate,Statue of conquistador at the Albuquerque Museum,removed,,"Albuquerque, New Mexico",35.0843859,-106.650422,
1980s,June 2020,06/01/2020,06/15/2020,Alcalde,New Mexico,Staute of Juan de Oñate,Statue of conquistador in Rio Arriba County,removed,,"Alcalde, New Mexico",36.0889116,-106.053634,
Unknown,June 2020,06/16/2020,TBD,Plaquemine,Louisiana,Confederate statue,Confederate statue outside old courthouse,planned,,"Plaquemine, Louisiana",30.2890833,-91.2342744,
2007,"2019, June 2020",06/01/2020,06/16/2020,Las Vegas,Nevada,"""Hey Reb"" statue","Statue of Rebels team mascot at University of Nevada, Las Vegas",removed,,"Las Vegas, Nevada",36.1699412,-115.1398296,
"1910 (original), 2010 (replacement copy)",June 1 2020,N/A,N/A,Rocky Mount,Virginia,Confederate statue,Confederate statue at Franklin County courthouse,requested,,"Rocky Mount, Virginia",36.9976403,-79.8919774,
1908,"2017, June 2020",06/12/2020,06/18/2020,Decatur,Georgia,Confederate monument,Confederate monument in Decatur square,removed,,"Decatur, Georgia",33.7748275,-84.2963123,
1908,"2004, June 2020",N/A,N/A,Leesburg,Virginia,Confederate monument,Confederate monument at courthouse,requested,,"Leesburg, Virginia",39.1156615,-77.5636015,
1903,6/5/2020 (petitioned),N/A,N/A,Fort Smith,Arkansas,Confederate monument,Confederate monument at Sebastian County Courthouse ,requested,,"Fort Smith, Arkansas",35.3859242,-94.3985475,
1911,June 2020,N/A,N/A,Kaufman,Texas,Confederate statue,Confederate soldier at Kaufman County courthouse,requested,,"Kaufman, Texas",32.5890238,-96.3088693,
1903,"2017, June 2020",N/A,N/A,Paris,Texas,Confederate monument,Confederate monument at Lamar County courthouse,requested,,"Paris, Texas",33.6609389,-95.555513,
1976,June 1 2020,N/A,N/A,Anchorage,Alaska,Statue of James Cook,Captain James Cook statue,requested,,"Anchorage, Alaska",61.2180556,-149.9002778,
2010,June 2020,06/19/2020,06/19/2020,Minneapolis,Minnesota,Statue of Calvin Griffith,Former Twins owner statue at Target Field,removed,,"Minneapolis, Minnesota",44.977753,-93.2650108,
1957,June 2020 (vandalized),06/01/2020,06/18/2020,San Francisco,California,Christopher Columbus statue,Columbus statue in Pioneer Park,removed,,"San Francisco, California",37.7749295,-122.4194155,
"1876 (originally built), 1982 (moved to current location)",June 2020,N/A,N/A,Philadelphia,Pennsylvania,Christopher Columbus statue,"Marconi Plaza Columbus statue, South Philly",requested,,"Philadelphia, Pennsylvania",39.9525839,-75.1652215,
